gene_name,entry_h,NE Enrich Score in U,NE Enrich Score in A,NE Enrich Score in M
Ssr1,P43307,0.506867789511436,0.35104094570150485,0.7110433276415038
Ostc,Q9NRP0,0.42953758122145813,0.5007298723358352,0.3172598625513573
Mmgt1,Q8N4V1,0.5026805643027951,0.32335579698992983,0.567328637454909
Degs1,O15121,0.500021988542558,0.2588178289047731,0.559839629204745
Fkbp8,Q14318,0.47329005737116375,0.309463190677769,0.5911536442925275
Vapb,O95292,0.4189459126858425,0.21221043478956772,0.5226771210641531
Tmem230,Q96A57,0.4171008722051511,0.16613087630307147,0.612214493099812
Surf4,O15260,0.3856672017373429,0.4923236564948989,0.6282811132373155
Atl3,Q6DD88,0.3597822129142107,0.24406516379207768,0.5446527076160699
Bak1,Q16611,0.35618551310129454,0.1871792388011834,0.6456697606832938
Abcb10,Q9NRK6,0.29222253598269776,0.22997504381238254,0.6250901958568804
Sfxn1,Q9H9B4,0.2897866261021648,0.19811251290767756,0.5428484858083245
Rhot2,Q8IXI1,0.2789324519903848,0.19596338056709853,0.5372333367843108
Bcap29,Q9UHQ4,0.36192449162115475,0.3329493749137354,0.6372828153045047
Sec22b,O75396,0.35599470853911763,0.5111015559218315,0.47306340208853714
Fndc3a,Q9Y2H6,0.3546011055733106,0.30069387652134133,0.6207320007385602
Itpr3,Q14573,0.3424974373155484,0.5150394852233343,0.6176220046181938
Tmx1,Q9H3N1,0.3347974691528363,0.34279349417186605,0.5626067040864654
Ddost,P39656,0.3227555745777813,0.495221925015898,0.6312767436819068
Rrp12,Q5JTH9,0.3187471841982431,0.3329417757627484,0.6512229732867222
Sacm1l,Q9NTJ5,0.313044419409509,0.3614051751361914,0.5313170885835403
Sec61a1,P61619,0.29604295326706676,0.4980564653844734,0.5931965104056687
Hsd17b12,Q53GQ0,0.29534522438050237,0.39105848626080053,0.5802758526530309
Ggcx,P38435,0.28665373611190204,0.5165519704155415,0.44544448178783247
Usp19,O94966,0.2759607248261088,0.49161036753323395,0.609867804755
Ints1,Q8N201,0.20627922328769482,0.5602717089613772,0.5433926596088651
Agpat3,Q9NRZ7,0.19284154483579047,0.3936820454433701,0.521356628156714
Clic4,Q9Y696,0.17404402767212612,0.3942130638546942,0.5453819069105977
G6pc3,Q9BUM1,0.16992599736166716,0.45786492456696415,0.5197184316566296
Tap1,Q03518,0.13781104091425755,0.4814782523778101,0.6383848720796341
Stim2,Q9P246,0.1374141220828607,0.41538581938079516,0.5820621968035449
Sptlc1,O15269,0.4237692107405331,0.4222691040401596,0.551237564305383
Pkd2,Q13563,0.40481206981018714,0.4436934931270808,0.5569454311515121
Itpr2,Q14571,0.40035124476042544,0.4057777573385781,0.5682873508709584
Emc1,Q8N766,0.39039459145699024,0.46842323724786405,0.6348887674753785
Tmed3,Q9Y3Q3,0.38956582852016064,0.44817212206236845,0.6721152297973346
Ano10,Q9NW15,0.3783313970420222,0.3851470561366619,0.6303561811608868
Cyp20a1,Q6UW02,0.34685377124129363,0.4029614975060553,0.5963658374582397
Clic1,O00299,0.3876333785467745,0.7124545718039986,0.69993589155825
Ncln,Q969V3,0.3796378106692758,0.6465077223540397,0.7602210102649299
Hm13,Q8TCT9,0.2536773130612306,0.7197176734930979,0.65306381998403
Tapbp,O15533,0.3796008669041399,0.5415817804905466,0.5559246678636337
Stt3a,P46977,0.3792167009187605,0.527766681484729,0.5195911073308882
Pigs,Q96S52,0.5104177313395706,0.5893349230730678,0.44923836101065034
Comt,P21964,0.49203142669836303,0.6153026923620656,0.4587838764798649
Rpn2,P04844,0.4539784467020061,0.5561469946854304,0.5023870353637943
Ugt1a6,P19224,0.4273814680965045,0.5985259255996135,0.4722780928867713
Mogs,Q13724,0.42273650714986427,0.5717053919192088,0.3743176542022516
Yif1b,Q5BJH7,0.40183605498628694,0.6466208388755088,0.5176372773248945
Ergic3,Q9Y282,0.3986377567825456,0.6635882614982213,0.36202616945668564
Hacd3,Q9P035,0.2936304874157772,0.5853406691388819,0.3873795671419939
Praf2,O60831,0.2762089803896109,0.5067052019524867,0.37741332915764964
Arl6ip5,O75915,0.2575816354793525,0.6144760511981074,0.41853670964713974
Noc4l,Q9BVI4,0.4142648859503712,0.6455198063955211,0.3630244418664892
Wls,Q5T9L3,0.3875570108259908,0.669192508823605,0.3627337973907109
Tmem214,Q6NUQ4,0.3705038268588975,0.6486882448767612,0.2825690503649857
Agpat4,Q9NRZ5,0.36245333203616664,0.5955827027996252,0.2697326911742356
Hsd11b1,P28845,0.32725265017413174,0.6702966246020005,0.46846126295018115
Slc25a4,P12235,0.3237106957073485,0.32921076505666036,0.5424163073898848
Ndufb6,O95139,0.2972939210088968,0.5275499108889046,0.4025747513213232
Tmem165,Q9HC07,0.2778794012343392,0.5549184624629852,0.47541271626965564
Slc25a12,O75746,0.24681756683725822,0.37875495413538635,0.5157061614002317
Slc35b2,Q8TB61,0.23494714789195162,0.37541461442676677,0.547505985700968
Stx5,Q13190,0.22867737753119255,0.26362630466302367,0.5706216076833543
Abhd12,Q8N2K0,0.18045897344007272,0.4351390578705428,0.5898744909987456
Tmed2,Q15363,0.4825939830747057,0.5121756293673885,0.4414333512952611
Nrp1,Q92832,0.4240042525153355,0.5046156136823318,0.3855741576870387
Fads1,O60427,0.4098623148330246,0.24005434542687792,0.5363003170535189
Cers2,Q96G23,0.40124827970719495,0.45019277347406006,0.5821763961840166
Nsdhl,Q15738,0.3853799496288599,0.330219634854365,0.5092873686743455
Marchf5,Q9NX47,0.21495644394870034,0.27508674421023893,0.5618775669767606
B3glct,Q6Y288,0.2721140158895625,0.3887564716769565,0.7687438569855266
Kdsr,Q06136,0.25349321122858376,0.4206950604055223,0.7206570367551224
Slc25a24,Q6NUK1,0.2527818279956235,0.5327314317736304,0.8433502882475583
Ext2,Q93063,0.1499357950999442,0.3459056413866605,0.9121047455799758
Ints5,Q6P9B9,0.08501747340723405,0.5009918017896273,1
Cyp51a1,Q16850,0.18882944203240223,0.3838095596376495,0.7054787554965268
Xxylt1,Q8NBI6,0.06760664434512446,0.743561945195669,0.7953987980658713
Cpt1c,Q8TCG5,0,0.7885268391784975,0.6423110108533655
Ubr4,Q5T4S7,0,0.7701583159764224,0.6234200784662774
Spcs1,Q9Y6A9,0.6945938701150635,0.4240249716619742,0.8363706478163525
Rhbdd1,Q8TEB9,0.6094457885513458,0.47135957722892197,0.8172349815775689
Tor1aip1,Q5JTV8,0.8725088145693706,0.6168108952660513,0.7984363769711873
Tmpo,P42167,0.8639340673243134,0.5954877292423902,0.684320016785222
Lbr,Q14739,0.6430857171191001,0.8872235216356129,0.8392866309492312
Atp6ap2,O75787,0.7678649415459194,0.5347589529779696,0.7952695000175611
Tmpo,P42166,0.7855267330020482,0.5221378744123918,0.5251148740095454
Emd,P50402,0.603330246805736,0.6989947022433876,0.629420530754914
Fkbp11,Q9NYL4,0.7039904592783924,0.538712058530309,0.3695021990201585
Ermp1,Q7Z2K6,0.7097408498066597,0.43899902624056075,0.6379530657433937
Clptm1l,Q96KA5,0.6641785680928308,0.4044279400740068,0.5788492564777727
Lpcat1,Q8NF37,0.6557615950380632,0.4290197549268392,0.6489372405087788
Spcs2,Q15005,0.61434078307377,0.42823347235741344,0.6670545579470933
Tmem33,P57088,0.5893676267848835,0.49105484514897435,0.77435954102685
Ccdc47,Q96A33,0.5687109410480222,0.35869170585056215,0.6385182796015938
Pigk,Q92643,0.5534451633278333,0.4422088895007166,0.6519232430506403
Lman2l,Q9H0V9,0.6532990047103129,0.38530890068182894,0.7484211209015902
Nceh1,Q6PIU2,0.6258842290998311,0.4896789334299527,0.8281399627528359
Tap2,Q03519,0.5694770134509111,0.5591246419476503,0.5976794016360408
Tmtc3,Q6ZXV5,0.5429744708840986,0.41685987327501606,0.6407838226287972
Sptlc2,O15270,0.5065488627209218,0.3464464713336366,0.5985847156049946
Emc7,Q9NPA0,0.4830846816811352,0.5062788824016136,0.6005942183828227
Aldh3a2,P51648,0.4799169757361643,0.5380672505201762,0.6246346165067813
