UniprotID,GeneName,Schirmer_2003,Korfali_2010,Wilkie_2010,Korfali_2012,Korfali_2012_NE:MM-ratio,Cheng_2019,Cheng_2019_Score:Undiff,Cheng_2019_Score:Adipo,Cheng_2019_Score:Myo,#ProteomePapers
Q9P2E9,Rrbp1,0,0,0,0,0.0,1,0.5176827504813576,0.1986022831477038,0.2016160078118499,1
Q9Y3A6,Tmed5,0,0,0,0,0.0,1,0.8694394969741238,0.2817715634322179,0.5936740511903658,1
Q969P0,Igsf8,0,0,0,0,0.0,1,0.7493394297791313,0.1133405293832957,0.4311210806871641,1
Q96AG4,Lrrc59,0,0,0,0,0.0,1,0.6969900657322662,0.2517806028976346,0.4027360049365144,1
Q99943,Agpat1,0,0,0,0,0.0,1,0.6854063005942034,0.224528246355286,0.5554818513737908,1
Q92629,Sgcd,0,0,0,0,0.0,1,0.6842064431940538,0.1629649756616851,0.3684130252092925,1
P02786,Tfrc,0,0,0,0,0.0,1,0.6650129289394725,0.126220223437779,0.577863783892003,1
O43674,Ndufb5,0,0,0,0,0.0,1,0.6410748624214542,0.1852677198427037,0.3857980537219024,1
P51571,Ssr4,0,0,0,0,0.0,1,0.6323842007023952,0.250498137218083,0.3467527612539567,1
P00167,Cyb5a,0,0,0,0,0.0,1,0.6318748464273817,0.2470417743157388,0.345082932548329,1
P35613,Bsg,0,0,0,0,0.0,1,0.584230037500897,0.2339412072705254,0.3940114716859668,1
Q9NZ01,Tecr,0,0,0,0,0.0,1,0.5892286939916089,0.292891776177268,0.4501367386754126,1
Q6PCB7,Slc27a1,0,0,0,0,0.0,1,0.5473705898390836,0.2863247501191354,0.5135594446101517,1
Q9UJS0,Slc25a13,0,0,0,0,0.0,1,0.5347205835502993,0.1514933453563002,0.6345836348199183,1
Q96TA2,Yme1l1,0,0,0,0,0.0,1,0.5147818322014107,0.1165966588191996,0.6377393796969746,1
O00264,Pgrmc1,0,0,0,0,0.0,1,0.5169741532461127,0.3646677080383901,0.3883708616261579,1
Q8N2F6,Armc10,0,0,0,0,0.0,1,0.5498978919824201,0.2431489182202526,0.2773243949938865,1
